"acceptability"	"important"	"direct"	"expensive"	"previoustrolley"	"gender"	"age"	"topiccomp"	"expensivecomp"	"importancecomp"	"failed"
"326"	9	2	1	2	2	1	22	4	2	2	NA
"327"	9	2	1	2	2	2	34	4	2	2	NA
"328"	6	2	1	2	1	1	28	4	2	2	NA
"329"	8	2	1	2	2	2	47	4	2	2	NA
"330"	9	2	1	2	2	1	23	4	2	2	1
"331"	5	2	1	2	2	1	20	4	2	2	NA
"332"	9	2	1	2	1	1	18	4	2	2	NA
"333"	9	2	1	2	2	1	33	4	2	2	NA
"334"	8	2	1	2	1	2	32	4	2	2	NA
"335"	7	2	1	2	2	1	27	4	2	2	NA
"336"	9	2	1	2	1	1	24	4	2	2	NA
"337"	7	2	1	2	1	1	22	4	1	1	1
"338"	7	2	1	2	2	1	34	4	2	2	NA
"339"	7	2	1	2	2	2	27	4	2	2	NA
"340"	7	2	1	2	2	1	40	4	2	2	NA
"341"	8	2	1	2	2	2	45	4	2	2	NA
"342"	9	2	1	2	1	1	43	4	2	2	NA
"343"	8	2	1	2	2	1	35	4	2	2	NA
"344"	7	2	1	2	2	1	34	4	2	2	NA
"345"	7	2	1	2	2	1	52	4	2	2	NA
"346"	9	2	1	2	2	1	62	4	2	2	NA
"347"	7	2	1	2	2	1	26	4	2	2	NA
"348"	7	2	1	2	2	2	28	4	2	2	NA
"349"	9	2	1	2	2	1	26	4	2	2	NA
"350"	9	2	1	2	1	2	29	4	2	2	NA
"351"	9	2	1	2	2	1	28	4	2	2	NA
"352"	7	2	1	2	1	1	47	4	2	2	NA
"353"	9	2	1	2	2	2	28	4	2	2	NA
"354"	7	2	1	2	2	1	31	4	2	2	NA
"355"	3	2	1	2	2	1	43	4	2	2	NA
"356"	7	2	1	2	2	1	57	4	2	2	NA
"357"	7	2	1	2	2	2	30	4	2	2	NA
"358"	9	2	1	2	2	2	32	4	2	2	NA
"359"	9	2	1	2	1	1	42	4	2	2	NA
"360"	9	2	1	2	2	1	44	4	2	2	NA
"361"	3	2	1	2	1	2	27	4	2	2	NA
"362"	7	2	1	2	2	2	28	4	2	2	NA
"363"	9	2	1	2	2	2	35	4	2	2	NA
"364"	7	2	1	2	2	1	25	4	2	2	1
"365"	8	2	1	2	2	2	43	4	2	2	NA
"366"	9	2	1	2	1	2	30	4	2	2	NA
"367"	9	2	1	2	2	1	36	4	2	2	NA
"368"	9	2	1	2	2	2	31	4	2	2	NA
"369"	8	2	1	2	2	1	26	4	2	2	NA
"370"	9	2	1	2	2	1	24	4	2	2	NA
"371"	5	2	1	2	2	1	27	4	2	2	NA
"372"	9	2	1	2	2	1	35	4	2	2	NA
"373"	7	2	1	2	1	1	34	4	2	2	1
"374"	9	2	1	2	1	2	54	4	2	2	NA
"375"	8	2	1	2	2	1	31	4	2	2	NA
"376"	5	2	1	2	2	1	31	4	2	2	NA
"377"	9	2	1	2	1	1	28	4	2	2	NA
"378"	7	2	1	2	2	2	21	4	2	2	NA
"379"	7	2	1	2	1	1	33	4	2	2	NA
"380"	9	2	1	2	1	1	39	4	2	2	NA
"381"	3	2	1	2	2	1	36	4	2	2	NA
"382"	7	2	1	2	1	1	35	4	2	2	NA
"383"	9	2	1	2	2	1	23	4	2	2	NA
"384"	3	2	1	2	2	2	51	4	2	2	NA
"385"	6	2	1	2	1	2	37	4	2	2	NA
"386"	7	2	1	2	2	2	42	4	2	2	NA
"387"	5	2	1	2	2	1	24	4	2	2	NA
"388"	6	2	1	2	2	1	28	4	2	2	NA
"389"	3	2	1	2	1	1	30	4	2	2	NA
"390"	9	2	1	2	2	2	28	4	2	2	NA
"391"	9	2	1	2	2	1	23	4	2	2	1
"392"	7	2	1	2	2	2	22	4	2	2	NA
"393"	9	2	1	2	2	2	32	4	2	2	NA
"394"	9	2	1	2	2	1	32	4	2	2	NA
"395"	1	2	1	2	1	1	38	4	2	2	1
"396"	8	2	1	2	2	1	43	4	2	2	NA
"397"	7	2	1	2	2	2	22	4	2	2	1
"398"	9	2	1	2	1	1	33	4	2	2	1
"399"	9	1	2	1	2	1	20	4	1	1	NA
"400"	9	1	2	1	2	2	29	4	1	1	NA
"401"	6	1	2	1	1	2	19	4	1	1	NA
"402"	6	1	2	1	2	2	64	4	1	1	NA
"403"	7	1	2	1	2	2	26	4	1	1	NA
"404"	9	1	2	1	2	1	32	4	1	1	NA
"405"	6	1	2	1	1	1	31	4	1	1	NA
"406"	3	1	2	1	2	1	18	4	1	1	NA
"407"	7	1	2	1	1	2	36	4	1	1	NA
"408"	7	1	2	1	1	2	35	4	1	1	NA
"409"	6	1	2	1	2	2	29	4	1	1	NA
"410"	8	1	2	1	2	1	21	4	1	1	NA
"411"	6	1	2	1	2	1	22	4	1	1	NA
"412"	9	1	2	1	1	2	51	4	1	1	NA
"413"	4	1	2	1	2	1	35	4	1	1	NA
"414"	9	1	2	1	1	2	32	4	1	1	NA
"415"	7	1	2	1	2	1	47	4	1	1	NA
"416"	9	1	2	1	1	1	28	4	1	1	NA
"417"	8	1	2	1	1	2	33	4	1	1	NA
"418"	7	1	2	1	2	1	32	4	1	1	NA
"419"	6	1	2	1	2	1	35	4	1	1	NA
"420"	3	1	2	1	2	1	18	4	1	1	NA
"421"	7	1	2	1	2	2	19	4	1	1	1
"422"	9	1	2	1	1	1	34	4	1	1	NA
"423"	6	1	2	1	2	2	21	4	1	1	NA
"424"	8	1	2	1	1	1	23	4	1	1	NA
"425"	7	1	2	1	2	2	21	4	1	1	NA
"426"	7	1	2	1	2	1	54	4	1	1	NA
"427"	8	1	2	1	1	2	23	2	2	2	1
"428"	7	1	2	1	1	2	32	4	1	1	NA
"429"	5	1	2	1	1	2	37	4	1	1	NA
"430"	5	1	2	1	2	1	24	4	2	2	1
"431"	7	1	2	1	1	1	35	4	1	1	NA
"432"	8	1	2	1	2	2	37	4	1	1	NA
"433"	9	1	2	1	2	1	42	4	1	1	NA
"434"	7	1	2	1	2	2	33	4	1	1	NA
"435"	9	1	2	1	1	2	26	4	1	1	NA
"436"	9	1	2	1	1	1	32	4	1	1	NA
"437"	8	1	2	1	1	2	19	4	1	1	NA
"438"	7	1	2	1	2	2	57	4	1	1	NA
"439"	7	1	2	1	2	1	20	4	1	1	NA
"440"	8	1	2	1	1	1	30	4	1	1	NA
"441"	9	1	2	1	1	1	27	4	1	1	NA
"442"	7	1	2	1	1	2	50	4	1	1	NA
"443"	7	1	2	1	2	1	24	4	1	1	NA
"444"	8	1	2	1	2	1	28	4	1	1	NA
"445"	5	1	2	1	2	1	21	4	1	1	NA
"446"	7	1	2	1	2	1	29	4	1	1	NA
"447"	7	1	2	1	1	2	49	4	2	2	1
"448"	9	1	2	1	1	1	60	4	1	1	NA
"449"	7	1	2	1	2	2	25	4	1	1	NA
"450"	9	1	2	1	2	1	31	4	1	1	NA
"451"	7	1	2	1	1	2	38	4	1	1	NA
"452"	9	1	2	1	2	2	29	4	1	1	1
