"acceptability"	"important"	"direct"	"cover"	"gender"	"age"	"storycomp"	"itemcomp"	"ownercomp"	"failed"
"286"	9	2	1	2	2	40	1	3	4	NA
"287"	9	2	1	2	1	52	1	3	4	NA
"288"	9	2	1	2	2	25	1	3	4	NA
"289"	7	2	2	1	2	25	1	1	3	1
"290"	5	2	2	1	1	24	3	2	3	1
"291"	4	2	2	1	NA	58	4	1	2	1
"292"	5	2	2	1	2	32	4	1	2	1
"293"	8	2	2	1	1	42	4	1	2	1
"294"	9	2	2	1	2	24	4	1	2	1
"295"	1	2	2	1	1	38	4	3	1	1
"296"	5	2	2	1	1	24	4	3	1	1
"297"	5	2	2	1	1	24	4	3	1	1
"298"	5	2	2	1	1	23	4	3	1	1
"299"	7	2	2	1	2	47	4	3	1	1
"300"	7	2	2	1	1	20	4	3	1	1
"301"	9	2	2	1	1	20	4	3	1	1
"302"	1	2	2	1	1	38	4	3	2	NA
"303"	2	2	2	1	1	25	4	3	2	NA
"304"	3	2	2	1	1	21	4	3	2	NA
"305"	3	2	2	1	1	28	4	3	2	NA
"306"	3	2	2	1	1	32	4	3	2	NA
"307"	3	2	2	1	2	21	4	3	2	NA
"308"	4	2	2	1	1	28	4	3	2	NA
"309"	5	2	2	1	2	38	4	3	2	NA
"310"	5	2	2	1	2	28	4	3	2	NA
"311"	5	2	2	1	2	34	4	3	2	NA
"312"	5	2	2	1	1	20	4	3	2	NA
"313"	5	2	2	1	1	24	4	3	2	NA
"314"	5	2	2	1	1	20	4	3	2	NA
"315"	5	2	2	1	2	34	4	3	2	NA
"316"	6	2	2	1	2	29	4	3	2	NA
"317"	6	2	2	1	1	31	4	3	2	NA
"318"	6	2	2	1	2	30	4	3	2	NA
"319"	6	2	2	1	1	28	4	3	2	NA
"320"	6	2	2	1	1	23	4	3	2	NA
"321"	6	2	2	1	1	23	4	3	2	NA
"322"	6	2	2	1	1	38	4	3	2	NA
"323"	7	2	2	1	2	46	4	3	2	NA
"324"	7	2	2	1	2	23	4	3	2	NA
"325"	7	2	2	1	1	27	4	3	2	NA
"326"	7	2	2	1	1	32	4	3	2	NA
"327"	7	2	2	1	1	21	4	3	2	NA
"328"	7	2	2	1	1	34	4	3	2	NA
"329"	7	2	2	1	1	51	4	3	2	NA
"330"	7	2	2	1	1	32	4	3	2	NA
"331"	7	2	2	1	1	28	4	3	2	NA
"332"	7	2	2	1	2	72	4	3	2	NA
"333"	7	2	2	1	1	25	4	3	2	NA
"334"	7	2	2	1	1	28	4	3	2	NA
"335"	8	2	2	1	1	24	4	3	2	NA
"336"	8	2	2	1	2	27	4	3	2	NA
"337"	8	2	2	1	2	35	4	3	2	NA
"338"	9	2	2	1	1	37	4	3	2	NA
"339"	9	2	2	1	1	29	4	3	2	NA
"340"	9	2	2	1	2	24	4	3	2	NA
"341"	9	2	2	1	1	26	4	3	2	NA
